20251220T,25380.00,25380.00,25380.00,25380.00,7
20251220T,25410.00,25410.00,25410.00,25410.00,7
20251220T,25450.00,25450.00,25450.00,25450.00,7
20251220T,25500.00,25500.00,25500.00,25500.00,7
20251220T,25350.00,25350.00,25350.00,25350.00,6
20251221T,25335.87,25335.87,25335.87,25335.87,10
20251221T,25300.00,25300.00,25300.00,25300.00,9
20251221T,25400.00,25400.00,25400.00,25400.00,9
20251221T,25250.00,25250.00,25250.00,25250.00,8
20251221T,25349.49,25349.49,25349.49,25349.49,8
20251221T,25180.00,25180.00,25180.00,25180.00,7
20251221T,25200.00,25200.00,25200.00,25200.00,7
20251221T,25240.00,25240.00,25240.00,25240.00,7
20251221T,25260.00,25260.00,25260.00,25260.00,7
20251221T,25270.00,25270.00,25270.00,25270.00,7
20251221T,25280.00,25280.00,25280.00,25280.00,7
20251221T,25290.00,25290.00,25290.00,25290.00,7
20251221T,25370.00,25370.00,25370.00,25370.00,7
20251221T,25380.00,25380.00,25380.00,25380.00,7
20251221T,25410.00,25410.00,25410.00,25410.00,7
20251221T,25450.00,25450.00,25450.00,25450.00,7
20251221T,25500.00,25500.00,25500.00,25500.00,7
20251221T,25350.00,25350.00,25350.00,25350.00,6
20251222T,25335.87,25335.87,25335.87,25335.87,10
20251222T,25300.00,25300.00,25300.00,25300.00,9
20251222T,25400.00,25400.00,25400.00,25400.00,9
20251222T,25250.00,25250.00,25250.00,25250.00,8
20251222T,25349.49,25349.49,25349.49,25349.49,8
20251222T,25180.00,25180.00,25180.00,25180.00,7
20251222T,25200.00,25200.00,25200.00,25200.00,7
20251222T,25240.00,25240.00,25240.00,25240.00,7
20251222T,25260.00,25260.00,25260.00,25260.00,7
20251222T,25270.00,25270.00,25270.00,25270.00,7
20251222T,25280.00,25280.00,25280.00,25280.00,7
20251222T,25290.00,25290.00,25290.00,25290.00,7
20251222T,25370.00,25370.00,25370.00,25370.00,7
20251222T,25380.00,25380.00,25380.00,25380.00,7
20251222T,25410.00,25410.00,25410.00,25410.00,7
20251222T,25450.00,25450.00,25450.00,25450.00,7
20251222T,25500.00,25500.00,25500.00,25500.00,7
20251222T,25350.00,25350.00,25350.00,25350.00,6
20251223T,25335.87,25335.87,25335.87,25335.87,10
20251223T,25300.00,25300.00,25300.00,25300.00,9
20251223T,25400.00,25400.00,25400.00,25400.00,9
20251223T,25250.00,25250.00,25250.00,25250.00,8
20251223T,25349.49,25349.49,25349.49,25349.49,8
20251223T,25180.00,25180.00,25180.00,25180.00,7
20251223T,25200.00,25200.00,25200.00,25200.00,7
20251223T,25240.00,25240.00,25240.00,25240.00,7
20251223T,25260.00,25260.00,25260.00,25260.00,7
20251223T,25270.00,25270.00,25270.00,25270.00,7
20251223T,25280.00,25280.00,25280.00,25280.00,7
20251223T,25290.00,25290.00,25290.00,25290.00,7
20251223T,25370.00,25370.00,25370.00,25370.00,7
20251223T,25380.00,25380.00,25380.00,25380.00,7
20251223T,25410.00,25410.00,25410.00,25410.00,7
20251223T,25450.00,25450.00,25450.00,25450.00,7
20251223T,25500.00,25500.00,25500.00,25500.00,7
20251223T,25350.00,25350.00,25350.00,25350.00,6
20251224T,25335.87,25335.87,25335.87,25335.87,10
20251224T,25300.00,25300.00,25300.00,25300.00,9
20251224T,25400.00,25400.00,25400.00,25400.00,9
20251224T,25250.00,25250.00,25250.00,25250.00,8
20251224T,25349.49,25349.49,25349.49,25349.49,8
20251224T,25180.00,25180.00,25180.00,25180.00,7
20251224T,25200.00,25200.00,25200.00,25200.00,7
20251224T,25240.00,25240.00,25240.00,25240.00,7
20251224T,25260.00,25260.00,25260.00,25260.00,7
20251224T,25270.00,25270.00,25270.00,25270.00,7
20251224T,25280.00,25280.00,25280.00,25280.00,7
20251224T,25290.00,25290.00,25290.00,25290.00,7
20251224T,25370.00,25370.00,25370.00,25370.00,7
20251224T,25380.00,25380.00,25380.00,25380.00,7
20251224T,25410.00,25410.00,25410.00,25410.00,7
20251224T,25450.00,25450.00,25450.00,25450.00,7
20251224T,25500.00,25500.00,25500.00,25500.00,7
20251224T,25350.00,25350.00,25350.00,25350.00,6
20251225T,25335.87,25335.87,25335.87,25335.87,10
20251225T,25300.00,25300.00,25300.00,25300.00,9
20251225T,25400.00,25400.00,25400.00,25400.00,9
20251225T,25250.00,25250.00,25250.00,25250.00,8
20251225T,25349.49,25349.49,25349.49,25349.49,8
20251225T,25180.00,25180.00,25180.00,25180.00,7
20251225T,25200.00,25200.00,25200.00,25200.00,7
20251225T,25240.00,25240.00,25240.00,25240.00,7
20251225T,25260.00,25260.00,25260.00,25260.00,7
20251225T,25270.00,25270.00,25270.00,25270.00,7
20251225T,25280.00,25280.00,25280.00,25280.00,7
20251225T,25290.00,25290.00,25290.00,25290.00,7
20251225T,25370.00,25370.00,25370.00,25370.00,7
20251225T,25380.00,25380.00,25380.00,25380.00,7
20251225T,25410.00,25410.00,25410.00,25410.00,7
20251225T,25450.00,25450.00,25450.00,25450.00,7
20251225T,25500.00,25500.00,25500.00,25500.00,7
20251225T,25350.00,25350.00,25350.00,25350.00,6
20251226T,25335.87,25335.87,25335.87,25335.87,10
20251226T,25300.00,25300.00,25300.00,25300.00,9
20251226T,25400.00,25400.00,25400.00,25400.00,9
20251226T,25250.00,25250.00,25250.00,25250.00,8
20251226T,25349.49,25349.49,25349.49,25349.49,8
20251226T,25180.00,25180.00,25180.00,25180.00,7
20251226T,25200.00,25200.00,25200.00,25200.00,7
20251226T,25240.00,25240.00,25240.00,25240.00,7
20251226T,25260.00,25260.00,25260.00,25260.00,7
20251226T,25270.00,25270.00,25270.00,25270.00,7
20251226T,25280.00,25280.00,25280.00,25280.00,7
20251226T,25290.00,25290.00,25290.00,25290.00,7
20251226T,25370.00,25370.00,25370.00,25370.00,7
20251226T,25380.00,25380.00,25380.00,25380.00,7
20251226T,25410.00,25410.00,25410.00,25410.00,7
20251226T,25450.00,25450.00,25450.00,25450.00,7
20251226T,25500.00,25500.00,25500.00,25500.00,7
20251226T,25350.00,25350.00,25350.00,25350.00,6
20251227T,25335.87,25335.87,25335.87,25335.87,10
